Họ tên,Email,SĐT,Trường,GPA
Nguyễn Văn An,nguyenvanan@gmail.com,0901234567,Đại học Bách Khoa,3.5
Trần Thị Bình,tranthbinh@gmail.com,0912345678,Đại học Kinh tế,3.8
Lê Hoàng Cường,lehoangcuong@gmail.com,0923456789,Đại học Công nghệ,3.2
Phạm Minh Dũng,phaminhdung@gmail.com,0934567890,Đại học Bách Khoa,3.6
Hoàng Thị Em,hoangthiem@gmail.com,0945678901,Đại học Ngoại thương,3.9
Võ Văn Phúc,vovanphuc@gmail.com,0956789012,Đại học Kinh tế,3.4
Đặng Thị Giang,dangthigiang@gmail.com,0967890123,Đại học Công nghệ,3.7
Bùi Quốc Hùng,buiquochung@gmail.com,0978901234,Đại học Bách Khoa,3.3
Ngô Thị Lan,ngothilan@gmail.com,0989012345,Đại học Ngoại thương,3.8
Trịnh Văn Minh,trinhvanminh@gmail.com,0990123456,Đại học Kinh tế,3.5
